step,energy
0,0.0000256261
1,0.0000256261
2,0.0000256261
3,0.0000256261
4,0.0000256261
5,0.0000256261
6,0.0000256261
7,0.0000256261
8,0.0000256261
9,0.0000256261
10,0.0000256261
11,0.0000256261
12,0.0000256261
13,0.0000256261
14,0.0000256261
15,0.0000256261
16,0.0000256261
17,0.0000256261
18,0.0000256261
19,0.0000256261
20,0.0000256261
21,0.0000256261
22,0.0000256261
23,0.0000256261
24,0.0000256261
25,0.0000256261
26,0.0000256261
27,0.0000256261
28,0.0000256261
29,0.0000256261
30,0.0000256261
31,0.0000256261
32,0.0000256261
33,0.0000256261
34,0.0000256261
35,0.0000256261
36,0.0000256261
37,0.0000256261
38,0.0000256261
39,0.0000256261
40,0.0000256261
41,0.0000256261
42,0.0000256261
43,0.0000256261
44,0.0000256261
45,0.0000256261
46,0.0000256261
47,0.0000256261
48,0.0000256262
49,0.0000256262
50,0.0000256262
51,0.0000256262
52,0.0000256262
53,0.0000256262
54,0.0000256262
55,0.0000256262
56,0.0000256262
57,0.0000256262
58,0.0000256262
59,0.0000256262
60,0.0000256262
61,0.0000256262
62,0.0000256262
63,0.0000256262
64,0.0000256262
65,0.0000256262
66,0.0000256262
67,0.0000256262
68,0.0000256262
69,0.0000256262
70,0.0000256262
71,0.0000256262
72,0.0000256262
73,0.0000256262
74,0.0000256262
75,0.0000256262
76,0.0000256263
77,0.0000256263
78,0.0000256263
79,0.0000256263
80,0.0000256263
81,0.0000256263
82,0.0000256263
83,0.0000256263
84,0.0000256263
85,0.0000256263
86,0.0000256263
87,0.0000256263
88,0.0000256263
89,0.0000256263
90,0.0000256263
91,0.0000256263
92,0.0000256263
93,0.0000256263
94,0.0000256263
95,0.0000256263
96,0.0000256263
97,0.0000256263
98,0.0000256263
99,0.0000256263
100,0.0000256261
101,0.0000256261
102,0.0000256261
103,0.0000256261
104,0.0000256261
105,0.0000256261
106,0.0000256261
107,0.0000256261
108,0.0000256261
109,0.0000256261
110,0.0000256261
111,0.0000256261
112,0.0000256261
113,0.0000256261
114,0.0000256261
115,0.0000256261
116,0.0000256261
117,0.0000256261
118,0.0000256261
119,0.0000256261
120,0.0000256261
121,0.0000256262
122,0.0000256262
123,0.0000256262
124,0.0000256262
125,0.0000256262
126,0.0000256262
127,0.0000256262
128,0.0000256262
129,0.0000256262
130,0.0000256262
131,0.0000256262
132,0.0000256262
133,0.0000256262
134,0.0000256262
135,0.0000256262
136,0.0000256262
137,0.0000256262
138,0.0000256262
139,0.0000256262
140,0.0000256262
141,0.0000256262
142,0.0000256262
143,0.0000256262
144,0.0000256262
145,0.0000256262
146,0.0000256262
147,0.0000256262
148,0.0000256262
149,0.0000256262
150,0.0000256262
151,0.0000256262
152,0.0000256262
153,0.0000256262
154,0.0000256262
155,0.0000256262
156,0.0000256262
157,0.0000256262
158,0.0000256262
159,0.0000256262
160,0.0000256262
161,0.0000256263
162,0.0000256263
163,0.0000256263
164,0.0000256263
165,0.0000256263
166,0.0000256263
167,0.0000256263
168,0.0000256263
169,0.0000256263
170,0.0000256263
171,0.0000256263
172,0.0000256263
173,0.0000256263
174,0.0000256263
175,0.0000256263
176,0.0000256263
177,0.0000256263
178,0.0000256263
179,0.0000256263
180,0.0000256263
181,0.0000256263
182,0.0000256263
183,0.0000256263
184,0.0000256263
185,0.0000256263
186,0.0000256263
187,0.0000256263
188,0.0000256263
189,0.0000256263
190,0.0000256263
191,0.0000256263
192,0.0000256263
193,0.0000256263
194,0.0000256263
195,0.0000256263
196,0.0000256263
197,0.0000256263
198,0.0000256263
199,0.0000256262
200,0.0000256261
201,0.0000256261
202,0.0000256261
203,0.0000256261
204,0.0000256261
205,0.0000256261
206,0.0000256261
207,0.0000256261
208,0.0000256261
209,0.0000256261
210,0.0000256261
211,0.0000256261
212,0.0000256261
213,0.0000256260
214,0.0000256260
215,0.0000256260
216,0.0000256260
217,0.0000256260
218,0.0000256260
219,0.0000256260
220,0.0000256260
221,0.0000256260
222,0.0000256260
223,0.0000256260
224,0.0000256260
225,0.0000256260
226,0.0000256260
227,0.0000256260
228,0.0000256260
229,0.0000256260
230,0.0000256260
231,0.0000256260
232,0.0000256260
233,0.0000256260
234,0.0000256260
235,0.0000256260
236,0.0000256260
237,0.0000256260
238,0.0000256260
239,0.0000256260
240,0.0000256260
241,0.0000256260
242,0.0000256260
243,0.0000256260
244,0.0000256260
245,0.0000256260
246,0.0000256259
247,0.0000256259
248,0.0000256259
249,0.0000256259
250,0.0000256259
251,0.0000256259
252,0.0000256259
253,0.0000256259
254,0.0000256259
255,0.0000256259
256,0.0000256259
257,0.0000256259
258,0.0000256259
259,0.0000256259
260,0.0000256259
261,0.0000256259
262,0.0000256259
263,0.0000256259
264,0.0000256259
265,0.0000256259
266,0.0000256259
267,0.0000256259
268,0.0000256259
269,0.0000256259
270,0.0000256259
271,0.0000256259
272,0.0000256258
273,0.0000256258
274,0.0000256258
275,0.0000256258
276,0.0000256258
277,0.0000256258
278,0.0000256258
279,0.0000256258
280,0.0000256258
281,0.0000256258
282,0.0000256258
283,0.0000256258
284,0.0000256258
285,0.0000256258
286,0.0000256258
287,0.0000256258
288,0.0000256258
289,0.0000256258
290,0.0000256258
291,0.0000256258
292,0.0000256258
293,0.0000256258
294,0.0000256258
295,0.0000256258
296,0.0000256258
297,0.0000256258
298,0.0000256258
299,0.0000256257
300,0.0000256261
301,0.0000256261
302,0.0000256261
303,0.0000256261
304,0.0000256261
305,0.0000256261
306,0.0000256261
307,0.0000256260
308,0.0000256260
309,0.0000256260
310,0.0000256260
311,0.0000256260
312,0.0000256260
313,0.0000256260
314,0.0000256260
315,0.0000256260
316,0.0000256260
317,0.0000256260
318,0.0000256260
319,0.0000256260
320,0.0000256260
321,0.0000256260
322,0.0000256260
323,0.0000256260
324,0.0000256260
325,0.0000256260
326,0.0000256260
327,0.0000256260
328,0.0000256260
329,0.0000256260
330,0.0000256260
331,0.0000256260
332,0.0000256260
333,0.0000256260
334,0.0000256260
335,0.0000256260
336,0.0000256260
337,0.0000256260
338,0.0000256260
339,0.0000256260
340,0.0000256260
341,0.0000256260
342,0.0000256260
343,0.0000256260
344,0.0000256260
345,0.0000256260
346,0.0000256260
347,0.0000256260
348,0.0000256260
349,0.0000256260
350,0.0000256260
351,0.0000256260
352,0.0000256260
353,0.0000256260
354,0.0000256260
355,0.0000256260
356,0.0000256260
357,0.0000256260
358,0.0000256260
359,0.0000256260
360,0.0000256260
361,0.0000256260
362,0.0000256260
363,0.0000256260
364,0.0000256260
365,0.0000256260
366,0.0000256260
367,0.0000256260
368,0.0000256260
369,0.0000256260
370,0.0000256260
371,0.0000256260
372,0.0000256260
373,0.0000256260
374,0.0000256260
375,0.0000256260
376,0.0000256260
377,0.0000256260
378,0.0000256260
379,0.0000256260
380,0.0000256260
381,0.0000256260
382,0.0000256260
383,0.0000256260
384,0.0000256260
385,0.0000256260
386,0.0000256260
387,0.0000256260
388,0.0000256260
389,0.0000256260
390,0.0000256260
391,0.0000256260
392,0.0000256260
393,0.0000256260
394,0.0000256260
395,0.0000256260
396,0.0000256260
397,0.0000256260
398,0.0000256260
399,0.0000256260
400,0.0000256261
401,0.0000256261
402,0.0000256261
403,0.0000256261
404,0.0000256261
405,0.0000256261
406,0.0000256261
407,0.0000256261
408,0.0000256261
409,0.0000256261
410,0.0000256261
411,0.0000256261
412,0.0000256261
413,0.0000256261
414,0.0000256261
415,0.0000256261
416,0.0000256261
417,0.0000256261
418,0.0000256261
419,0.0000256261
420,0.0000256261
421,0.0000256261
422,0.0000256261
423,0.0000256261
424,0.0000256261
425,0.0000256261
426,0.0000256262
427,0.0000256262
428,0.0000256262
429,0.0000256262
430,0.0000256262
431,0.0000256262
432,0.0000256262
433,0.0000256262
434,0.0000256262
435,0.0000256262
436,0.0000256262
437,0.0000256262
438,0.0000256262
439,0.0000256262
440,0.0000256262
441,0.0000256262
442,0.0000256262
443,0.0000256262
444,0.0000256262
445,0.0000256262
446,0.0000256262
447,0.0000256262
448,0.0000256262
449,0.0000256262
450,0.0000256262
451,0.0000256262
452,0.0000256262
453,0.0000256262
454,0.0000256263
455,0.0000256263
456,0.0000256263
457,0.0000256263
458,0.0000256263
459,0.0000256263
460,0.0000256263
461,0.0000256263
462,0.0000256263
463,0.0000256263
464,0.0000256263
465,0.0000256263
466,0.0000256263
467,0.0000256263
468,0.0000256263
469,0.0000256263
470,0.0000256263
471,0.0000256263
472,0.0000256263
473,0.0000256263
474,0.0000256263
475,0.0000256263
476,0.0000256263
477,0.0000256263
478,0.0000256263
479,0.0000256263
480,0.0000256263
481,0.0000256263
482,0.0000256263
483,0.0000256263
484,0.0000256263
485,0.0000256264
486,0.0000256264
487,0.0000256264
488,0.0000256264
489,0.0000256264
490,0.0000256264
491,0.0000256264
492,0.0000256264
493,0.0000256264
494,0.0000256264
495,0.0000256264
496,0.0000256264
497,0.0000256264
498,0.0000256264
499,0.0000256264
500,0.0000256261
501,0.0000256261
502,0.0000256261
503,0.0000256261
504,0.0000256261
505,0.0000256261
506,0.0000256261
507,0.0000256261
508,0.0000256261
509,0.0000256261
510,0.0000256261
511,0.0000256261
512,0.0000256261
513,0.0000256261
514,0.0000256261
515,0.0000256261
516,0.0000256261
517,0.0000256261
518,0.0000256261
519,0.0000256261
520,0.0000256261
521,0.0000256261
522,0.0000256261
523,0.0000256261
524,0.0000256261
525,0.0000256261
526,0.0000256261
527,0.0000256261
528,0.0000256261
529,0.0000256261
530,0.0000256261
531,0.0000256261
532,0.0000256261
533,0.0000256261
534,0.0000256261
535,0.0000256261
536,0.0000256261
537,0.0000256261
538,0.0000256261
539,0.0000256261
540,0.0000256261
541,0.0000256261
542,0.0000256261
543,0.0000256261
544,0.0000256261
545,0.0000256261
546,0.0000256261
547,0.0000256261
548,0.0000256261
549,0.0000256261
550,0.0000256261
551,0.0000256261
552,0.0000256261
553,0.0000256261
554,0.0000256261
555,0.0000256261
556,0.0000256261
557,0.0000256261
558,0.0000256261
559,0.0000256261
560,0.0000256261
561,0.0000256261
562,0.0000256261
563,0.0000256261
564,0.0000256261
565,0.0000256261
566,0.0000256261
567,0.0000256261
568,0.0000256261
569,0.0000256261
570,0.0000256261
571,0.0000256261
572,0.0000256261
573,0.0000256261
574,0.0000256261
575,0.0000256261
576,0.0000256261
577,0.0000256261
578,0.0000256261
579,0.0000256261
580,0.0000256260
581,0.0000256260
582,0.0000256260
583,0.0000256260
584,0.0000256260
585,0.0000256260
586,0.0000256260
587,0.0000256260
588,0.0000256260
589,0.0000256260
590,0.0000256260
591,0.0000256260
592,0.0000256260
593,0.0000256260
594,0.0000256260
595,0.0000256260
596,0.0000256260
597,0.0000256260
598,0.0000256260
599,0.0000256260
600,0.0000256261
601,0.0000256261
602,0.0000256261
603,0.0000256261
604,0.0000256261
605,0.0000256261
606,0.0000256261
607,0.0000256260
608,0.0000256260
609,0.0000256260
610,0.0000256260
611,0.0000256260
612,0.0000256260
613,0.0000256260
614,0.0000256260
615,0.0000256260
616,0.0000256260
617,0.0000256260
618,0.0000256260
619,0.0000256260
620,0.0000256260
621,0.0000256260
622,0.0000256260
623,0.0000256260
624,0.0000256260
625,0.0000256260
626,0.0000256260
627,0.0000256260
628,0.0000256260
629,0.0000256260
630,0.0000256260
631,0.0000256260
632,0.0000256260
633,0.0000256260
634,0.0000256260
635,0.0000256260
636,0.0000256260
637,0.0000256260
638,0.0000256259
639,0.0000256259
640,0.0000256259
641,0.0000256259
642,0.0000256259
643,0.0000256259
644,0.0000256259
645,0.0000256259
646,0.0000256259
647,0.0000256259
648,0.0000256259
649,0.0000256259
650,0.0000256259
651,0.0000256259
652,0.0000256259
653,0.0000256259
654,0.0000256259
655,0.0000256259
656,0.0000256259
657,0.0000256259
658,0.0000256259
659,0.0000256259
660,0.0000256259
661,0.0000256259
662,0.0000256259
663,0.0000256259
664,0.0000256259
665,0.0000256259
666,0.0000256259
667,0.0000256259
668,0.0000256259
669,0.0000256259
670,0.0000256259
671,0.0000256259
672,0.0000256259
673,0.0000256259
674,0.0000256259
675,0.0000256259
676,0.0000256258
677,0.0000256258
678,0.0000256258
679,0.0000256258
680,0.0000256258
681,0.0000256258
682,0.0000256258
683,0.0000256258
684,0.0000256258
685,0.0000256258
686,0.0000256258
687,0.0000256258
688,0.0000256258
689,0.0000256258
690,0.0000256258
691,0.0000256258
692,0.0000256258
693,0.0000256258
